product_id,product_name,product_price,category,discount,store_id,store_name
1,Santa's Pocket Watch,$88.04,Fantasy,80,1,Viva
2,The Wind in the Willows,$81.99,Adventure,71,2,Viva
3,One to Another (Chacun sa nuit),$22.24,Crime,31,3,Edgetag
4,Snowriders,$50.70,Crime,27,4,Trudeo
5,Mortal Kombat,$35.63,Crime,55,5,Livepath
6,High Fidelity,$34.51,Drama,6,6,Npath
7,Charm's Incidents (Charms Zwischenfälle),$11.86,Fantasy,52,7,Bluejam
8,Once Upon a Time in Mexico,$22.74,Romance,24,8,Janyx
9,Mrs. Winterbourne,$44.62,Horror,35,9,Zava
10,"Cell 2, The",$65.70,Fantasy,30,10,Jabbersphere
11,Conman (Du Xia 1999),$4.23,Thriller,38,11,Wikizz
12,"Clonus Horror, The",$79.09,Adventure,25,12,Fanoodle
13,Find Me Guilty,$41.97,Thriller,16,13,Devpulse
14,Flu,$94.52,Western,26,14,Flashspan
15,"Flat, The",$95.54,Adventure,15,15,Wikizz
16,Frozen River,$63.12,Romance,28,16,Yakitri
17,Running Scared,$88.49,Drama,62,17,Camido
18,Hobo with a Shotgun,$36.07,Drama,58,18,Edgetag
19,Terry Fator: Live from Las Vegas,$71.16,Thriller,18,19,Eabox
20,Lucky,$80.25,Comedy,5,20,Meeveo
21,It Came from Beneath the Sea,$40.94,Drama,54,21,Aibox
22,Tyson,$13.07,Horror,63,22,Brainverse
23,Mahogany,$62.44,Crime,67,23,Riffwire
24,"Tomorrow, the World!",$65.59,Thriller,15,24,Trudoo
25,Randy Rides Alone,$30.59,Adventure,72,25,Voomm
26,Steak,$77.15,Action,9,26,Jaloo
27,Anchorman: The Legend of Ron Burgundy,$74.67,Action,6,27,Realblab
28,Stealing Time (a.k.a. Rennie's Landing),$66.51,Crime,8,28,Zoozzy
29,Passeio com Johnny Guitar,$89.88,Action,26,29,Realpoint
30,Two Queens and One Consort (Twee vorstinnen en een vorst),$97.31,Adventure,62,30,Demivee
31,Pirates of the Caribbean: The Curse of the Black Pearl,$38.33,Drama,60,31,Tambee
32,That Guy... Who Was in That Thing,$40.00,Comedy,71,32,Trupe
33,Mon oncle d'Amérique,$89.75,Thriller,62,33,Kwideo
34,"Sixth of the World, A (Shestaya chast mira)",$42.68,Romance,24,34,Tagcat
35,Patch Adams,$30.89,Drama,51,35,Mycat
36,"Secrets, The (Sodot, Ha-)",$86.93,Action,31,36,Thoughtstorm
37,Days of Heaven,$23.58,Drama,2,37,Edgepulse
38,When the Wind Blows,$65.88,Romance,15,38,Thoughtbridge
39,Two Kilers (Kilerów 2-óch),$71.08,Crime,56,39,Meevee
40,Boys on the Side,$56.16,Comedy,25,40,Jabberstorm
41,Vertical Limit,$84.68,Comedy,32,41,Gabcube
42,"Chicken, the Fish and the King Crab, The (El pollo, el pez y el cangrejo real)",$13.22,Adventure,17,42,Quinu
43,"Times of Harvey Milk, The",$45.36,Crime,76,43,Skimia
44,Warlock: The Armageddon,$19.28,Horror,22,44,Tanoodle
45,Moscow Does Not Believe in Tears (Moskva slezam ne verit),$24.80,Western,72,45,Eamia
46,Slow Southern Steel,$42.64,Comedy,50,46,Meeveo
47,How the West Was Fun,$13.41,Action,66,47,Twinder
48,Man for a Day,$65.37,Western,34,48,Topicshots
49,Repo! The Genetic Opera,$92.95,Fantasy,67,49,Plambee
50,Pete Seeger: The Power of Song,$70.05,Western,33,50,Miboo
51,No Name on the Bullet,$25.65,Adventure,35,51,Geba
52,Missing in Action,$39.98,Western,71,52,Skipfire
53,B*A*P*S,$36.36,Fantasy,71,53,Roomm
54,Georgia,$22.79,Adventure,38,54,Quimba
55,Montana,$85.48,Thriller,49,55,Buzzdog
56,Oleanna,$2.60,Fantasy,68,56,Pixope
57,"Swan Princess: The Mystery of the Enchanted Treasure, The",$42.71,Fantasy,34,57,Quimm
58,"Heroic Ones, The (Shi san tai bao)",$40.78,Fantasy,38,58,Roombo
59,Underworld: Awakening,$86.16,Horror,55,59,Vitz
60,Invitation to a Gunfighter,$78.89,Thriller,47,60,Minyx
61,Contagion,$32.13,Drama,40,61,Bluezoom
62,Movie Days (Bíódagar),$16.91,Fantasy,41,62,Jabbertype
63,Moebius Redux: A Life in Pictures,$58.77,Crime,29,63,Photojam
64,Sunshine State,$48.93,Romance,26,64,Dabvine
65,One Shot,$81.77,Western,42,65,Trupe
66,"Pandora's Box (Büchse der Pandora, Die)",$22.09,Horror,35,66,Jetpulse
67,American Ninja 4: The Annihilation,$3.64,Crime,19,67,Cogidoo
68,Wanted: Dead or Alive,$87.87,Horror,23,68,Babbleset
69,Small Soldiers,$5.50,Thriller,55,69,Dabshots
70,Death at a Funeral,$54.06,Adventure,17,70,Omba
71,Tyler Perry's The Single Moms Club,$82.95,Thriller,71,71,Riffpath
72,The Final Girl,$85.11,Western,34,72,Ntag
73,Ten Tall Men,$46.10,Drama,28,73,Brightdog
74,Purple Butterfly (Zi hudie),$53.60,Action,59,74,Agivu
75,Piripäiväkirja,$42.78,Fantasy,13,75,Brainbox
76,"Gay Bed and Breakfast of Terror, The",$85.43,Thriller,71,76,Zoozzy
77,Julie,$94.58,Drama,74,77,Jabbersphere
78,High and Low (Tengoku to jigoku),$12.15,Horror,25,78,Gabtype
79,High and Dry,$57.27,Romance,18,79,Brainverse
80,Freejack,$89.38,Thriller,53,80,Yacero
81,Blind Horizon,$83.40,Romance,9,81,Yadel
82,Dead Calm,$35.27,Romance,44,82,Dabfeed
